time,exchange,crypto,pair,contract,open,high,low,close,volume,funding rate
2023-01-01 00:00:00,binance,bitcoin,BTC/USDT,spot,16541.77,16559.77,16499.01,16526.19,32048.06442,
2023-01-01 00:00:00,binance,bitcoin,BTCUSDCM,perpetual,16531.2,16545.7,16486.6,16515.5,4362.57949783,-1.609e-05
2023-01-01 00:00:00,binance,bitcoin,BTCUSDT,perpetual,16537.5,16557.1,16488.0,16519.6,32204.874,0.0001
2023-01-01 00:00:00,binance,ethereum,ETH/USDT,spot,1196.13,1196.74,1190.57,1195.06,38946.5196,
2023-01-01 00:00:00,binance,ethereum,ETHUSDCM,perpetual,1195.43,1195.99,1189.7,1194.14,58724.71362473,0.0001
2023-01-01 00:00:00,binance,ethereum,ETHUSDT,perpetual,1196.1,1196.98,1190.8,1195.07,444641.154,0.0001
2023-01-01 00:00:00,bybit,bitcoin,BTC/USDT,spot,16569.23,16574.19,16471.44,16533.2,551.88255,
2023-01-01 00:00:00,bybit,bitcoin,BTCUSDCM,perpetual,16555.0,16560.0,16452.5,16525.0,16629.30891,0.0001
2023-01-01 00:00:00,bybit,bitcoin,BTCUSDT,perpetual,16583.5,16585.5,16480.5,16553.0,13146.742,0.00024639
2023-01-01 00:00:00,bybit,ethereum,ETH/USDT,spot,1202.76,1203.86,1191.89,1194.07,7698.14928,
2023-01-01 00:00:00,bybit,ethereum,ETHUSDCM,perpetual,1202.35,1203.0,1191.05,1193.35,10972.22025,0.0001
2023-01-01 00:00:00,bybit,ethereum,ETHUSDT,perpetual,1203.15,1204.35,1191.9,1194.75,111119.46,0.0001
2023-01-01 00:00:00,okx,bitcoin,BTC/USDT,spot,16573.0,16577.0,16477.6,16538.5,765.65476,
2023-01-01 00:00:00,okx,bitcoin,BTCUSDCM,perpetual,16568.6,16571.1,16472.0,16534.5,1500.6352,0.0001935533048265
2023-01-01 00:00:00,okx,bitcoin,BTCUSDT,perpetual,16571.9,16576.4,16470.1,16538.1,7214.94,0.0001872446163727
2023-01-01 00:00:00,okx,ethereum,ETH/USDT,spot,1202.98,1204.03,1192.21,1194.54,10788.91334,
2023-01-01 00:00:00,okx,ethereum,ETHUSDCM,perpetual,1202.62,1203.67,1191.06,1193.56,28563.7269,0.0002470830259312
2023-01-01 00:00:00,okx,ethereum,ETHUSDT,perpetual,1203.16,1204.31,1191.67,1194.4,311253.3,9.93624229825e-05
2023-01-01 08:00:00,binance,bitcoin,BTC/USDT,spot,16525.7,16572.94,16505.2,16558.73,30962.05797,
2023-01-01 08:00:00,binance,bitcoin,BTCUSDCM,perpetual,16515.4,16559.3,16498.0,16546.0,2911.40360933,4.835e-05
2023-01-01 08:00:00,binance,bitcoin,BTCUSDT,perpetual,16519.5,16565.9,16496.8,16553.1,30660.16,0.0001
2023-01-01 08:00:00,binance,ethereum,ETH/USDT,spot,1195.07,1198.5,1193.54,1196.81,26240.0424,
2023-01-01 08:00:00,binance,ethereum,ETHUSDCM,perpetual,1194.15,1197.82,1192.7,1195.59,38225.41748597,3.001e-05
