Time,BTCUSDT Spot,BTCUSDT Future,Basis BTCUSDT Future,BTCUSD PERP Future,Basis BTCUSD PERP Future
2021-07-01 01:00:00,34936.43,34923.04,-13.389999999999418,34940.1,3.6699999999982538
2021-07-01 02:00:00,34299.59,34286.16,-13.429999999993015,34305.6,6.010000000002037
2021-07-01 03:00:00,34120.01,34120.06,0.049999999995634425,34129.0,8.989999999997963
2021-07-01 04:00:00,34330.34,34314.99,-15.349999999998545,34318.8,-11.539999999993597
2021-07-01 05:00:00,34325.72,34312.3,-13.419999999998254,34318.4,-7.319999999999709
2021-07-01 06:00:00,33511.24,33481.62,-29.619999999995343,33492.0,-19.239999999997963
2021-07-01 07:00:00,33348.3,33337.58,-10.720000000001164,33347.5,-0.8000000000029104
2021-07-01 08:00:00,33475.72,33467.43,-8.290000000000873,33464.2,-11.520000000004075
2021-07-01 09:00:00,33275.0,33268.26,-6.739999999997963,33258.7,-16.30000000000291
2021-07-01 10:00:00,33183.12,33176.01,-7.110000000000582,33160.5,-22.62000000000262
2021-07-01 11:00:00,33717.52,33696.91,-20.609999999993306,33688.3,-29.219999999993888
2021-07-01 12:00:00,33655.24,33639.33,-15.909999999996217,33632.4,-22.839999999996508
2021-07-01 13:00:00,33401.45,33386.58,-14.869999999995343,33388.0,-13.44999999999709
2021-07-01 14:00:00,33206.48,33195.14,-11.340000000003783,33190.9,-15.580000000001746
2021-07-01 15:00:00,33432.54,33417.74,-14.80000000000291,33427.0,-5.540000000000873
2021-07-01 16:00:00,33151.6,33152.01,0.41000000000349246,33139.4,-12.19999999999709
2021-07-01 17:00:00,33490.0,33480.69,-9.309999999997672,33477.1,-12.900000000001455
2021-07-01 18:00:00,33325.5,33310.64,-14.860000000000582,33315.6,-9.900000000001455
2021-07-01 19:00:00,33091.48,33072.19,-19.290000000000873,33074.7,-16.780000000006112
2021-07-01 20:00:00,33412.79,33386.45,-26.340000000003783,33407.1,-5.690000000002328
2021-07-01 21:00:00,33503.34,33492.59,-10.75,33491.9,-11.439999999995052
2021-07-01 22:00:00,33546.6,33529.77,-16.830000000001746,33538.5,-8.099999999998545
2021-07-01 23:00:00,33504.69,33489.96,-14.730000000003201,33500.7,-3.9900000000052387
2021-07-02 00:00:00,33774.68,33759.2,-15.480000000003201,33757.3,-17.37999999999738
2021-07-02 01:00:00,33264.04,33261.3,-2.7399999999979627,33256.3,-7.739999999997963
2021-07-02 02:00:00,33265.55,33257.46,-8.090000000003783,33265.8,0.25
2021-07-02 03:00:00,32907.22,32896.63,-10.590000000003783,32905.9,-1.319999999999709
2021-07-02 04:00:00,33149.07,33129.76,-19.30999999999767,33136.4,-12.669999999998254
2021-07-02 05:00:00,32855.24,32843.99,-11.25,32840.1,-15.139999999999418
2021-07-02 06:00:00,32957.53,32938.12,-19.409999999996217,32948.8,-8.729999999995925
2021-07-02 07:00:00,33358.26,33340.17,-18.090000000003783,33354.8,-3.459999999999127
2021-07-02 08:00:00,33372.83,33367.37,-5.459999999999127,33364.1,-8.730000000003201
2021-07-02 09:00:00,32979.04,32962.18,-16.860000000000582,32959.2,-19.840000000003783
2021-07-02 10:00:00,32997.94,32984.49,-13.450000000004366,32977.1,-20.840000000003783
2021-07-02 11:00:00,33023.01,33007.96,-15.05000000000291,33011.4,-11.610000000000582
2021-07-02 12:00:00,33238.22,33218.44,-19.779999999998836,33225.7,-12.520000000004075
2021-07-02 13:00:00,33480.01,33451.7,-28.310000000004948,33457.1,-22.910000000003492
2021-07-02 14:00:00,33667.44,33646.66,-20.779999999998836,33663.2,-4.240000000005239
