https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1723075200000,2024-08-08,BTCUSD_PERP,55119.4,62761.0,54708.9,61668.6,28466222,48618.38380466,649792
1722988800000,2024-08-07,BTCUSD_PERP,56002.8,57747.9,54548.3,55115.6,19750313,35085.10819168,555241
1722902400000,2024-08-06,BTCUSD_PERP,54016.6,57036.0,53943.9,56002.8,25269974,45326.69136335,726784
1722816000000,2024-08-05,BTCUSD_PERP,58134.3,58263.5,48794.7,54014.6,89484107,168851.69145775,2266805
1722729600000,2024-08-04,BTCUSD_PERP,60658.1,61058.7,57017.1,58134.4,21085276,35629.8210759,450393
1722643200000,2024-08-03,BTCUSD_PERP,61387.8,62127.7,59755.5,60658.1,21668389,35571.92654456,459381
1722556800000,2024-08-02,BTCUSD_PERP,65290.0,65559.3,61090.1,61387.8,30075578,47412.69706015,691769
1722470400000,2024-08-01,BTCUSD_PERP,64578.0,65574.3,62222.0,65290.0,25001421,39151.76708552,580519
1722384000000,2024-07-31,BTCUSD_PERP,66143.7,66811.6,64475.2,64579.6,18356473,27893.68083642,377650
1722297600000,2024-07-30,BTCUSD_PERP,66745.8,66967.9,65225.1,66143.6,17409217,26300.57887033,365973
1722211200000,2024-07-29,BTCUSD_PERP,68224.0,70060.6,66320.8,66745.7,30528855,44653.64909498,528771
1722124800000,2024-07-28,BTCUSD_PERP,67865.5,68310.9,67025.0,68224.1,8357716,12339.71677333,184016
1722038400000,2024-07-27,BTCUSD_PERP,67894.4,69412.4,66618.1,67864.2,27151432,39807.93968609,508454
1721952000000,2024-07-26,BTCUSD_PERP,65764.4,68190.8,65687.3,67894.3,18280732,27183.39818661,393209
1721865600000,2024-07-25,BTCUSD_PERP,65344.9,66146.3,63413.3,65764.3,20577752,31885.95960127,498134
1721779200000,2024-07-24,BTCUSD_PERP,65926.8,67093.5,65052.0,65347.8,14146555,21394.86732915,352861
1721692800000,2024-07-23,BTCUSD_PERP,67536.0,67752.8,65432.1,65926.8,19405483,29184.18421828,427840
1721606400000,2024-07-22,BTCUSD_PERP,68181.3,68500.0,66565.0,67537.0,13835132,20494.46884448,332455
1721520000000,2024-07-21,BTCUSD_PERP,67152.2,68378.1,65801.6,68181.2,14936099,22232.28904823,315636
1721433600000,2024-07-20,BTCUSD_PERP,66660.5,67665.5,66236.2,67152.2,9783700,14625.22171459,221379
1721347200000,2024-07-19,BTCUSD_PERP,63959.9,67429.9,63230.0,66660.6,21815839,33344.95987791,438229
1721260800000,2024-07-18,BTCUSD_PERP,64056.1,65123.0,63203.4,63959.8,13151621,20493.2107443,335600
1721174400000,2024-07-17,BTCUSD_PERP,65055.2,66120.0,63822.1,64056.0,18294606,28129.6394061,425653
1721088000000,2024-07-16,BTCUSD_PERP,64742.9,65389.5,62370.0,65053.6,27838097,43491.86445643,558675
1721001600000,2024-07-15,BTCUSD_PERP,60775.5,64926.0,60640.0,64742.9,25326408,40204.31564054,545634
1720915200000,2024-07-14,BTCUSD_PERP,59201.4,61413.0,59187.7,60774.5,15560249,25883.18331752,305629
1720828800000,2024-07-13,BTCUSD_PERP,57873.7,59864.8,57743.6,59201.4,8343147,14211.18152457,222865
1720742400000,2024-07-12,BTCUSD_PERP,57307.4,58529.8,56507.3,57873.6,11797774,20540.63163105,343701
1720656000000,2024-07-11,BTCUSD_PERP,57700.1,59643.1,57015.6,57307.5,16886843,29066.92847059,434710
1720569600000,2024-07-10,BTCUSD_PERP,58013.3,59452.6,57123.0,57700.0,15784250,27117.32512212,416304
1720483200000,2024-07-09,BTCUSD_PERP,56684.0,58276.2,56250.1,58013.3,15970122,27838.03985889,394718
1720396800000,2024-07-08,BTCUSD_PERP,55830.0,58180.0,54239.4,56684.1,31672772,56485.87952893,711788
1720310400000,2024-07-07,BTCUSD_PERP,58207.9,58422.0,55680.0,55830.1,12905975,22572.70593543,355864
1720224000000,2024-07-06,BTCUSD_PERP,56618.0,58464.2,56004.9,58208.0,12546798,21971.00057964,320328
1720137600000,2024-07-05,BTCUSD_PERP,57007.7,57499.9,53277.0,56618.0,43183238,77917.94056009,901275
1720051200000,2024-07-04,BTCUSD_PERP,60130.0,60411.9,56693.0,57007.7,31187081,53783.8966918,644840
1719964800000,2024-07-03,BTCUSD_PERP,62035.9,62185.9,59300.0,60130.0,18869642,31221.43318057,399659
1719878400000,2024-07-02,BTCUSD_PERP,62852.3,63238.0,61742.5,62034.6,10806982,17316.89867265,231100
1719792000000,2024-07-01,BTCUSD_PERP,62726.1,63808.0,62469.5,62853.8,15797090,25023.2307293,375967
1719705600000,2024-06-30,BTCUSD_PERP,60917.9,63018.5,60654.7,62726.1,11918209,19278.02733413,294532
