https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1723158000000,2024-08-08 23:00:00,BTCUSD_PERP,62349.0,62761.0,61610.0,61668.6,1949736,3137.12185736,44921
1723154400000,2024-08-08 22:00:00,BTCUSD_PERP,61165.5,62547.0,60602.3,62342.7,2904718,4724.1889968,61386
1723150800000,2024-08-08 21:00:00,BTCUSD_PERP,59497.4,61363.3,59495.9,61165.5,1669597,2759.244296,29712
1723147200000,2024-08-08 20:00:00,BTCUSD_PERP,59410.4,59683.4,59300.5,59497.4,223260,375.26316019,8442
1723143600000,2024-08-08 19:00:00,BTCUSD_PERP,59329.9,59817.0,59241.0,59409.9,522323,876.91884856,16137
1723140000000,2024-08-08 18:00:00,BTCUSD_PERP,59457.4,59694.2,59325.5,59329.9,329214,553.59084444,11655
1723136400000,2024-08-08 17:00:00,BTCUSD_PERP,59552.9,59852.8,59262.4,59457.4,533818,896.85351011,15131
1723132800000,2024-08-08 16:00:00,BTCUSD_PERP,59432.8,59929.8,59351.9,59561.2,1766055,2962.83861159,33913
1723129200000,2024-08-08 15:00:00,BTCUSD_PERP,58928.9,59514.0,58639.0,59426.1,2330416,3942.9849179,43374
1723125600000,2024-08-08 14:00:00,BTCUSD_PERP,57265.7,58994.9,57166.4,58928.9,2437251,4192.65750991,49847
1723122000000,2024-08-08 13:00:00,BTCUSD_PERP,57916.1,58244.2,56685.1,57259.8,2145315,3736.74116419,46639
1723118400000,2024-08-08 12:00:00,BTCUSD_PERP,57303.5,58486.2,57066.8,57923.0,2523343,4362.41845643,51307
1723114800000,2024-08-08 11:00:00,BTCUSD_PERP,57365.6,57679.9,57240.0,57303.5,622595,1083.62759783,12274
1723111200000,2024-08-08 10:00:00,BTCUSD_PERP,57329.1,57557.2,57182.1,57365.6,384080,669.34518664,9622
1723107600000,2024-08-08 09:00:00,BTCUSD_PERP,57227.6,57489.6,56978.6,57329.0,493398,862.08836911,12620
1723104000000,2024-08-08 08:00:00,BTCUSD_PERP,57184.4,57375.0,57111.8,57227.5,229196,400.45196232,10416
1723100400000,2024-08-08 07:00:00,BTCUSD_PERP,57209.9,57415.4,57122.6,57183.3,568184,991.99552474,20360
1723096800000,2024-08-08 06:00:00,BTCUSD_PERP,56949.6,57356.6,56789.0,57209.8,417357,731.45903388,16702
1723093200000,2024-08-08 05:00:00,BTCUSD_PERP,56750.2,57011.7,56716.5,56949.5,395141,694.41411851,12919
1723089600000,2024-08-08 04:00:00,BTCUSD_PERP,57038.9,57226.9,56652.2,56750.3,584850,1026.87170848,19704
