position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
long,1200000.0,bybit,bitcoin,BTC/USDT,usd,2023-01-01 16:00:00,72.40831330548058,16556.11,0.001,1200.0,1198800.0,2023-01-09 08:00:00,17194.64,True,1245.0348802949486,1243789.8454146537,44989.84541465365
short,1198800.0,bybit,bitcoin,BTCUSDT,usd,2023-01-01 16:00:00,72.31437124664272,16568.5,0.00055,659.34,1198140.66,2023-01-09 08:00:00,17187.0,True,683.5769042388267,1242183.5217118096,-44042.861711809644
long,600000.0,okx,ethereum,ETH/USDT,usd,2023-01-01 16:00:00,500.95276301273697,1196.52,0.001,600.0,599400.0,2023-01-03 16:00:00,1215.01,True,608.6626165881056,608053.9539715175,8653.953971517505
short,599400.0,okx,ethereum,ETHUSDT,usd,2023-01-01 16:00:00,500.8613540221044,1196.14,0.0005,299.7,599100.3,2023-01-03 16:00:00,1215.11,True,304.30081994289964,608297.3390658564,-9197.03906585637
long,300015.2718875739,okx,bitcoin,BTC/USDT,coin,2023-01-02 08:00:00,17.986872508893132,16663.0,0.001,300.0152718875739,299715.2566156863,2023-01-06 16:00:00,16741.5,True,301.1272261076344,300826.09888152673,1110.8422658404452
short,299715.2566156863,okx,bitcoin,BTCUSDCM,coin,2023-01-02 08:00:00,17.969898681937952,16670.4,0.0005,149.85762830784316,299565.39898737846,2023-01-06 16:00:00,16739.3,True,150.40176250328196,300653.12324406067,-1087.7242566822097
long,149973.07686960782,okx,ethereum,ETH/USDT,coin,2023-01-05 00:00:00,119.44472650158906,1254.33,0.001,149.9730768696078,149823.1037927382,2023-01-07 16:00:00,1264.0,True,150.97813429800857,150827.15616371058,1004.0523709723784
short,149823.1037927382,okx,ethereum,ETHUSDCM,coin,2023-01-05 00:00:00,119.34123816801365,1254.79,0.0005,74.9115518963691,149748.19224084183,2023-01-07 16:00:00,1263.57,True,75.3980041559785,150720.61030780102,-972.4180669591879
long,900000.0,binance,bitcoin,BTC/USDT,coin,2023-01-06 00:00:00,53.41658819440526,16831.85,0.001,900.0,899100.0,2023-01-07 08:00:00,16948.18,True,905.3139517046553,904408.6377529507,5308.637752950657
short,899100.0,binance,bitcoin,BTCUSDCM,coin,2023-01-06 00:00:00,53.43829608838885,16816.6,0.0005,449.55,898650.45,2023-01-07 08:00:00,16937.0,True,452.542210424521,904631.8786386175,-5981.428638617508
long,1800000.0,binance,ethereum,ETH/USDT,usd,2023-01-06 00:00:00,1437.122877122877,1251.25,0.001,1800.0,1798200.0,2023-03-10 08:00:00,1412.27,True,2029.6055256743257,2027575.9201486513,229375.92014865135
short,1798200.0,binance,ethereum,ETHUSDT,usd,2023-01-06 00:00:00,1436.5994980336989,1251.08,0.0005,899.1,1797300.9,2023-03-10 08:00:00,1411.4,True,1013.8082657623814,2026602.7232590003,-229301.82325900043
