position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed
long,900000.0,binance,bitcoin,BTC/USDT,coin,2023-01-01 00:00:00,54.35331285587939,16541.77,0.001,900.0,899100.0,,,False
short,899100.0,binance,bitcoin,BTCUSDCM,coin,2023-01-01 00:00:00,54.360872168989545,16531.2,0.0005,449.55,898650.45,,,False
long,2700000.0,binance,bitcoin,BTC/USDT,usd,2023-01-01 00:00:00,163.05993856763817,16541.77,0.001,2700.0,2697300.0,,,False
short,2697300.0,binance,bitcoin,BTCUSDT,usd,2023-01-01 00:00:00,163.02048979591837,16537.5,0.0005,1348.65,2695951.35,,,False
long,450000.0,binance,ethereum,ETH/USDT,coin,2023-01-01 00:00:00,375.83707456547364,1196.13,0.001,450.0,449550.0,,,False
short,449550.0,binance,ethereum,ETHUSDCM,coin,2023-01-01 00:00:00,375.86912240783647,1195.43,0.0005,224.775,449325.225,,,False
long,1350000.0,binance,ethereum,ETH/USDT,usd,2023-01-01 00:00:00,1127.5112236964208,1196.13,0.001,1350.0,1348650.0,,,False
short,1348650.0,binance,ethereum,ETHUSDT,usd,2023-01-01 00:00:00,1126.9757336343116,1196.1,0.0005,674.325,1347975.675,,,False
long,300000.0,bybit,bitcoin,BTC/USDT,coin,2023-01-01 00:00:00,18.08774457231869,16569.23,0.001,300.0,299700.0,,,False
short,299700.0,bybit,bitcoin,BTCUSDCM,coin,2023-01-01 00:00:00,18.0933352461492,16555.0,0.00055,164.835,299535.165,,,False
long,900000.0,bybit,bitcoin,BTC/USDT,usd,2023-01-01 00:00:00,54.26323371695607,16569.23,0.001,900.0,899100.0,,,False
short,899100.0,bybit,bitcoin,BTCUSDT,usd,2023-01-01 00:00:00,54.186721439985526,16583.5,0.00055,494.50500000000005,898605.495,,,False
long,150000.0,bybit,ethereum,ETH/USDT,coin,2023-01-01 00:00:00,124.58844657288238,1202.76,0.001,150.0,149850.0,,,False
short,149850.0,bybit,ethereum,ETHUSDCM,coin,2023-01-01 00:00:00,124.56238408117437,1202.35,0.00055,82.4175,149767.5825,,,False
long,450000.0,bybit,ethereum,ETH/USDT,usd,2023-01-01 00:00:00,373.7653397186471,1202.76,0.001,450.0,449550.0,,,False
short,449550.0,bybit,ethereum,ETHUSDT,usd,2023-01-01 00:00:00,373.43867971574616,1203.15,0.00055,247.25250000000003,449302.7475,,,False
long,300000.0,okx,bitcoin,BTC/USDT,coin,2023-01-01 00:00:00,18.083630000603392,16573.0,0.001,300.0,299700.0,,,False
short,299700.0,okx,bitcoin,BTCUSDCM,coin,2023-01-01 00:00:00,18.079388119696297,16568.6,0.0005,149.85,299550.15,,,False
long,900000.0,okx,bitcoin,BTC/USDT,usd,2023-01-01 00:00:00,54.25089000181017,16573.0,0.001,900.0,899100.0,,,False
short,899100.0,okx,bitcoin,BTCUSDT,usd,2023-01-01 00:00:00,54.22736379051285,16571.9,0.0005,449.55,898650.45,,,False
long,150000.0,okx,ethereum,ETH/USDT,coin,2023-01-01 00:00:00,124.56566193951686,1202.98,0.001,150.0,149850.0,,,False
short,149850.0,okx,ethereum,ETHUSDCM,coin,2023-01-01 00:00:00,124.54064875022868,1202.62,0.0005,74.925,149775.075,,,False
long,450000.0,okx,ethereum,ETH/USDT,usd,2023-01-01 00:00:00,373.6969858185506,1202.98,0.001,450.0,449550.0,,,False
short,449550.0,okx,ethereum,ETHUSDT,usd,2023-01-01 00:00:00,373.4542579540543,1203.16,0.0005,224.775,449325.225,,,False
