position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
long,1200000.0,bybit,bitcoin,BTC/USDT,usd,2023-01-01 00:00:00,72.35097828927476,16569.23,0.001,1200.0,1198800.0,2023-01-06 00:00:00,16864.4,True,1220.1558382616456,1218935.682423384,20135.68242338393
short,1198800.0,bybit,bitcoin,BTCUSDT,usd,2023-01-01 00:00:00,72.2489619199807,16583.5,0.00055,659.34,1198140.66,2023-01-06 00:00:00,16854.5,True,669.7460707741731,1217050.3826095404,-18909.722609540448
long,300000.0,okx,bitcoin,BTC/USDT,coin,2023-01-01 00:00:00,18.083630000603392,16573.0,0.001,300.0,299700.0,2023-01-01 16:00:00,16558.5,True,299.43778736499127,299138.3495776263,-561.6504223737284
short,299700.0,okx,bitcoin,BTCUSDCM,coin,2023-01-01 00:00:00,18.079388119696297,16568.6,0.0005,149.85,299550.15,2023-01-01 16:00:00,16554.4,True,149.64671134435022,299143.77597735607,406.37402264395496
long,900000.0,okx,bitcoin,BTC/USDT,usd,2023-01-01 00:00:00,54.25089000181017,16573.0,0.001,900.0,899100.0,2023-01-01 16:00:00,16558.5,True,898.3133620949737,897415.0487328788,-1684.9512671212433
short,899100.0,okx,bitcoin,BTCUSDT,usd,2023-01-01 00:00:00,54.22736379051285,16571.9,0.0005,449.55,898650.45,2023-01-01 16:00:00,16559.8,True,448.9971494490673,897545.3017486855,1105.1482513144147
long,150000.0,okx,ethereum,ETH/USDT,coin,2023-01-01 00:00:00,124.56566193951686,1202.98,0.001,150.0,149850.0,2023-01-01 08:00:00,1194.55,True,148.79991146984986,148651.11155837998,-1198.8884416200162
short,149850.0,okx,ethereum,ETHUSDCM,coin,2023-01-01 00:00:00,124.54064875022868,1202.62,0.0005,74.925,149775.075,2023-01-01 08:00:00,1193.19,True,74.30032834114269,148526.35635394423,1248.718646055786
long,149953.19986742103,okx,ethereum,ETH/USDT,coin,2023-01-01 16:00:00,125.19911632697624,1196.52,0.001,149.95319986742103,149803.2466675536,2023-01-02 00:00:00,1201.78,True,150.4617940194335,150311.33222541405,508.0855578604387
short,149803.2466675536,okx,ethereum,ETHUSDCM,coin,2023-01-01 16:00:00,125.24328318211613,1195.5,0.0005,74.90162333377681,149728.34504421984,2023-01-02 00:00:00,1201.73,True,75.25430534922221,150433.3563930952,-705.0113488753559
long,449859.5996022631,okx,ethereum,ETH/USDT,usd,2023-01-01 16:00:00,375.59734898092876,1196.52,0.001,449.8595996022631,449409.74000266084,2023-01-02 08:00:00,1201.69,True,451.3515782968923,450900.22671859537,1490.4867159345304
short,449409.74000266084,okx,ethereum,ETHUSDT,usd,2023-01-01 16:00:00,375.5288136277187,1196.14,0.0005,224.70487000133042,449185.0351326595,2023-01-02 08:00:00,1201.68,True,225.63273238007852,451039.832027777,-1854.796895117499
long,1199595.2654809218,okx,bitcoin,BTC/USDT,usd,2023-01-02 00:00:00,72.17251064255935,16604.6,0.001,1199.5952654809219,1198395.670215441,2023-01-02 08:00:00,16663.0,True,1202.6105448369663,1201407.9342921292,3012.264076688327
short,1198395.670215441,okx,bitcoin,BTCUSDT,usd,2023-01-02 00:00:00,72.13990004579271,16603.8,0.0005,599.1978351077205,1197796.472380333,2023-01-02 08:00:00,16665.5,True,601.1237521065792,1201646.3804610518,-3849.908080718713
long,299698.0821519925,okx,bitcoin,BTC/USDT,coin,2023-01-02 08:00:00,17.96785597250438,16663.0,0.001,299.6980821519925,299398.3840698405,2023-01-03 16:00:00,16722.6,True,300.4692682858018,300168.79901751596,770.4149476754828
short,299398.3840698405,okx,bitcoin,BTCUSDCM,coin,2023-01-02 08:00:00,17.950900091047938,16670.4,0.0005,149.69919203492023,299248.6848778056,2023-01-03 16:00:00,16726.4,True,150.12696764145213,300103.8083152628,-855.1234374571941
long,299689.53078609105,okx,bitcoin,BTC/USDT,coin,2023-01-04 08:00:00,17.750771731518174,16866.3,0.001,299.68953078609104,299389.841255305,2023-01-05 16:00:00,16834.3,True,298.8218165598964,298522.9947433365,-866.8465119684697
short,299389.841255305,okx,bitcoin,BTCUSDCM,coin,2023-01-04 08:00:00,17.7282319962722,16879.3,0.0005,149.6949206276525,299240.14633467735,2023-01-05 16:00:00,16838.3,True,149.2566444114151,298364.03217841877,876.1141562585835
long,899081.4865643401,okx,bitcoin,BTC/USDT,usd,2023-01-04 16:00:00,53.340681830898994,16838.6,0.001,899.0814865643401,898182.4050777757,2023-01-05 16:00:00,16834.3,True,897.953040145903,897055.087105757,-1127.3179720187327
short,898182.4050777757,okx,bitcoin,BTCUSDT,usd,2023-01-04 16:00:00,53.31749451374829,16837.5,0.0005,449.09120253888784,897733.3138752368,2023-01-05 16:00:00,16832.9,True,448.74402670023676,897039.3093737733,694.0045014634961
long,149846.37716880388,okx,ethereum,ETH/USDT,coin,2023-01-04 16:00:00,119.6175113800162,1251.46,0.001,149.84637716880388,149696.53079163507,2023-01-05 08:00:00,1252.92,True,149.8711723582499,149721.30118589164,24.770394256571308
short,149696.53079163507,okx,ethereum,ETHUSDCM,coin,2023-01-04 16:00:00,119.57299011127569,1251.3,0.0005,74.84826539581753,149621.68252623925,2023-01-05 08:00:00,1252.52,True,74.88378078708752,149692.67779338793,-70.99526714868261
long,149817.81182462233,okx,ethereum,ETH/USDT,coin,2023-01-05 16:00:00,119.19183398195233,1255.69,0.001,149.81781182462234,149667.99401279772,2023-01-06 00:00:00,1253.69,True,149.4296103448338,149280.18073448897,-387.81327830874943
short,149667.99401279772,okx,ethereum,ETHUSDCM,coin,2023-01-05 16:00:00,119.12275142801846,1255.79,0.0005,74.83399700639886,149593.1600157913,2023-01-06 00:00:00,1253.22,True,74.64350727231064,149212.371037349,380.7889784423169
long,149816.59094252458,okx,ethereum,ETH/USDT,coin,2023-01-06 08:00:00,119.62336598455984,1251.15,0.001,149.81659094252458,149666.77435158205,2023-01-06 16:00:00,1243.72,True,148.7779727423168,148629.19476957447,-1037.5795820075728
short,149666.77435158205,okx,ethereum,ETHUSDCM,coin,2023-01-06 08:00:00,119.60274794474172,1250.74,0.0005,74.83338717579103,149591.94096440627,2023-01-06 16:00:00,1243.25,True,74.34805819115007,148621.768324109,970.1726402972708
long,1198484.624053167,okx,bitcoin,BTC/USDT,usd,2023-01-07 08:00:00,70.62301744975072,16953.2,0.001,1198.484624053167,1197286.1394291138,2023-01-07 16:00:00,16923.0,True,1195.1533243021313,1193958.1709778293,-3327.9684512845706
short,1197286.1394291138,okx,bitcoin,BTCUSDT,usd,2023-01-07 08:00:00,70.5802121120259,16955.0,0.0005,598.6430697145569,1196687.4963593993,2023-01-07 16:00:00,16920.5,True,597.1262395207672,1193655.3528020135,3032.1435573857743
long,149810.57800664587,okx,ethereum,ETH/USDT,coin,2023-01-07 08:00:00,118.1622550894457,1266.57,0.001,149.81057800664587,149660.76742863923,2023-01-07 16:00:00,1264.0,True,149.35709043305934,149207.73334262628,-453.03408601295087
short,149660.76742863923,okx,ethereum,ETHUSDCM,coin,2023-01-07 08:00:00,118.08918864857657,1266.72,0.0005,74.83038371431961,149585.9370449249,2023-01-07 16:00:00,1263.57,True,74.60697805034094,149139.34912263154,446.5879222933727
