position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
long,1200000.0,bybit,bitcoin,BTC/USDT,usd,2023-01-01 00:00:00,72.35097828927476,16569.23,0.001,1200.0,1198800.0,2023-01-06 00:00:00,16864.4,True,1220.1558382616456,1218935.682423384,20135.68242338393
short,1198800.0,bybit,bitcoin,BTCUSDT,usd,2023-01-01 00:00:00,72.2489619199807,16583.5,0.00055,659.34,1198140.66,2023-01-06 00:00:00,16854.5,True,669.7460707741731,1217050.3826095404,-18909.722609540448
long,300000.0,okx,bitcoin,BTC/USDT,coin,2023-01-01 00:00:00,18.083630000603392,16573.0,0.001,300.0,299700.0,2023-01-01 16:00:00,16558.5,True,299.43778736499127,299138.3495776263,-561.6504223737284
short,299700.0,okx,bitcoin,BTCUSDCM,coin,2023-01-01 00:00:00,18.079388119696297,16568.6,0.0005,149.85,299550.15,2023-01-01 16:00:00,16554.4,True,149.64671134435022,299143.77597735607,406.37402264395496
long,900000.0,okx,bitcoin,BTC/USDT,usd,2023-01-01 00:00:00,54.25089000181017,16573.0,0.001,900.0,899100.0,2023-01-01 16:00:00,16558.5,True,898.3133620949737,897415.0487328788,-1684.9512671212433
short,899100.0,okx,bitcoin,BTCUSDT,usd,2023-01-01 00:00:00,54.22736379051285,16571.9,0.0005,449.55,898650.45,2023-01-01 16:00:00,16559.8,True,448.9971494490673,897545.3017486855,1105.1482513144147
long,150000.0,okx,ethereum,ETH/USDT,coin,2023-01-01 00:00:00,124.56566193951686,1202.98,0.001,150.0,149850.0,2023-01-01 08:00:00,1194.55,True,148.79991146984986,148651.11155837998,-1198.8884416200162
short,149850.0,okx,ethereum,ETHUSDCM,coin,2023-01-01 00:00:00,124.54064875022868,1202.62,0.0005,74.925,149775.075,2023-01-01 08:00:00,1193.19,True,74.30032834114269,148526.35635394423,1248.718646055786
long,149948.60630916743,okx,ethereum,ETH/USDT,coin,2023-01-01 16:00:00,125.19528106747758,1196.52,0.001,149.94860630916745,149798.65770285827,2023-01-02 00:00:00,1201.78,True,150.4571848812732,150306.72769639193,508.0699935336597
short,149798.65770285827,okx,ethereum,ETHUSDCM,coin,2023-01-01 16:00:00,125.23944656964186,1195.5,0.0005,74.89932885142913,149723.75837400684,2023-01-02 00:00:00,1201.73,True,75.25200006306785,150428.74812607263,-704.9897520657978
long,449845.81892750226,okx,ethereum,ETH/USDT,usd,2023-01-01 16:00:00,375.58584320243267,1196.52,0.001,449.84581892750225,449395.97310857475,2023-01-02 08:00:00,1201.69,True,451.3377519179313,450886.41416601336,1490.441057438613
short,449395.97310857475,okx,ethereum,ETHUSDT,usd,2023-01-01 16:00:00,375.5173099486853,1196.14,0.0005,224.69798655428738,449171.27512202045,2023-01-02 08:00:00,1201.68,True,225.6258205095681,451026.0151986266,-1854.740076606162
long,1199470.6986182202,okx,bitcoin,BTC/USDT,usd,2023-01-02 00:00:00,72.1650161954881,16604.6,0.001,1199.4706986182202,1198271.2279196018,2023-01-02 08:00:00,16663.0,True,1202.4856648654184,1201283.1792005529,3011.9512809510343
short,1198271.2279196018,okx,bitcoin,BTCUSDT,usd,2023-01-02 00:00:00,72.13240898503007,16603.8,0.0005,599.1356139598009,1197672.092305642,2023-01-02 08:00:00,16665.5,True,601.0613309700093,1201521.6006090487,-3849.5083034066483
long,299687.3962483116,okx,bitcoin,BTC/USDT,coin,2023-01-02 08:00:00,17.967215318493867,16663.0,0.001,299.68739624831164,299387.7088520633,2023-01-03 16:00:00,16722.6,True,300.4585548850455,300158.09633016045,770.3874780971673
short,299387.7088520633,okx,bitcoin,BTCUSDCM,coin,2023-01-02 08:00:00,17.950260041608914,16670.4,0.0005,149.69385442603163,299238.01499763725,2023-01-03 16:00:00,16726.4,True,150.12161477998367,300093.10794518737,-855.092947550118
long,299674.69042789366,okx,bitcoin,BTC/USDT,coin,2023-01-04 08:00:00,17.749892729138327,16866.3,0.001,299.67469042789367,299375.01573746576,2023-01-05 16:00:00,16834.3,True,298.80701917013334,298508.2121509632,-866.8035865025595
short,299375.01573746576,okx,bitcoin,BTCUSDCM,coin,2023-01-04 08:00:00,17.727354110039933,16879.3,0.0005,149.6875078687329,299225.328229597,2023-01-05 16:00:00,16838.3,True,149.2492533555427,298349.25745772984,876.0707718671765
long,899024.0712836812,okx,bitcoin,BTC/USDT,usd,2023-01-04 16:00:00,53.33727549869928,16838.6,0.001,899.0240712836812,898125.0472123976,2023-01-05 16:00:00,16834.3,True,897.8956969277532,896997.8012308254,-1127.245981572196
short,898125.0472123976,okx,bitcoin,BTCUSDT,usd,2023-01-04 16:00:00,53.314089662289014,16837.5,0.0005,449.0625236061988,897675.9846887913,2023-01-05 16:00:00,16832.9,True,448.7153699381724,896982.0245064066,693.9601823847042
long,149837.34521394686,okx,ethereum,ETH/USDT,coin,2023-01-04 16:00:00,119.61030146287769,1251.46,0.001,149.83734521394686,149687.5078687329,2023-01-05 08:00:00,1252.92,True,149.86213890886873,149712.27676995983,24.768901226925664
short,149687.5078687329,okx,ethereum,ETHUSDCM,coin,2023-01-04 16:00:00,119.56578287764609,1251.3,0.0005,74.84375393436646,149612.66411479854,2023-01-05 08:00:00,1252.52,True,74.87926718495463,149683.6551027243,-70.99098792576115
long,149802.0771614077,okx,ethereum,ETH/USDT,coin,2023-01-05 16:00:00,119.17931582177631,1255.69,0.001,149.8020771614077,149652.2750842463,2023-01-06 00:00:00,1253.69,True,149.41391645260273,149264.50253615013,-387.77254809616716
short,149652.2750842463,okx,ethereum,ETHUSDCM,coin,2023-01-05 16:00:00,119.11024052325962,1255.79,0.0005,74.82613754212315,149577.4489467042,2023-01-06 00:00:00,1253.22,True,74.63566781427971,149196.69996074514,380.74898595904233
long,149801.5503942474,okx,ethereum,ETH/USDT,coin,2023-01-06 08:00:00,119.6113566269857,1251.15,0.001,149.8015503942474,149651.74884385316,2023-01-06 16:00:00,1243.72,True,148.76303646411463,148614.27342765054,-1037.475416202622
short,149651.74884385316,okx,ethereum,ETHUSDCM,coin,2023-01-06 08:00:00,119.590740657076,1250.74,0.0005,74.82587442192659,149576.92296943124,2023-01-06 16:00:00,1243.25,True,74.34059416095486,148606.84772774877,970.0752416824689
long,1198371.9630492672,okx,bitcoin,BTC/USDT,usd,2023-01-07 08:00:00,70.61637868285739,16953.2,0.001,1198.3719630492672,1197173.591086218,2023-01-07 16:00:00,16923.0,True,1195.0409764499955,1193845.9354735455,-3327.6556126724463
short,1197173.591086218,okx,bitcoin,BTCUSDT,usd,2023-01-07 08:00:00,70.57357736895753,16955.0,0.0005,598.586795543109,1196575.0042906748,2023-01-07 16:00:00,16920.5,True,597.070107935723,1193543.1457635101,3031.8585271646734
long,149796.4953811584,okx,ethereum,ETH/USDT,coin,2023-01-07 08:00:00,118.15114749739631,1266.57,0.001,149.7964953811584,149646.69888577724,2023-01-07 16:00:00,1264.0,True,149.34305043670892,149193.70738627223,-452.9914995050058
short,149646.69888577724,okx,ethereum,ETHUSDCM,coin,2023-01-07 08:00:00,118.07808792498291,1266.72,0.0005,74.82334944288863,149571.87553633435,2023-01-07 16:00:00,1263.57,True,74.59996477968532,149125.32959459096,446.54594174338854
